Order_ID,Customer_ID,Product_ID,Order_Type,Order_Date,Store_City,Store_Region,Store_Latitude,Store_Longitude,Total_Amount,Order_Month
ORD00001,CUST0326,PROD013,Purchase,2024-10-19,Waterford,Munster,52.2593,-7.1101,87,2024-10
ORD00002,CUST0276,PROD015,Purchase,2024-12-11,Athlone,Leinster,53.4239,-7.9407,57,2024-12
ORD00003,CUST0356,PROD009,Purchase,2025-03-04,Athlone,Leinster,53.4239,-7.9407,53,2025-03
ORD00004,CUST0471,PROD013,Purchase,2025-01-10,Athlone,Leinster,53.4239,-7.9407,93,2025-01
ORD00005,CUST0331,PROD016,Purchase,2025-02-24,Cork,Munster,51.8985,-8.4756,98,2025-02
ORD00006,CUST0477,PROD014,Purchase,2025-04-06,Sligo,Connacht,54.2742,-8.4694,76,2025-04
ORD00007,CUST0089,PROD006,Purchase,2025-03-17,Cork,Munster,51.8985,-8.4756,63,2025-03
ORD00008,CUST0285,PROD004,Purchase,2024-12-24,Kilkenny,Leinster,52.6541,-7.2448,98,2024-12
ORD00009,CUST0086,PROD005,Purchase,2024-12-24,Kilkenny,Leinster,52.6541,-7.2448,63,2024-12
ORD00010,CUST0251,PROD002,Purchase,2025-02-16,Limerick,Munster,52.6638,-8.6267,123,2025-02
ORD00011,CUST0148,PROD006,Purchase,2025-03-13,Limerick,Munster,52.6638,-8.6267,76,2025-03
ORD00012,CUST0072,PROD004,Purchase,2025-03-19,Cork,Munster,51.8985,-8.4756,94,2025-03
ORD00013,CUST0096,PROD014,Purchase,2025-02-14,Sligo,Connacht,54.2742,-8.4694,123,2025-02
ORD00014,CUST0162,PROD019,Purchase,2024-11-09,Waterford,Munster,52.2593,-7.1101,111,2024-11
ORD00015,CUST0432,PROD016,Purchase,2025-01-15,Galway,Connacht,53.2707,-9.0568,111,2025-01
ORD00016,CUST0231,PROD019,Purchase,2024-10-18,Galway,Connacht,53.2707,-9.0568,77,2024-10
ORD00017,CUST0318,PROD015,Purchase,2024-11-04,Limerick,Munster,52.6638,-8.6267,111,2024-11
ORD00018,CUST0028,PROD006,Purchase,2025-01-16,Cork,Munster,51.8985,-8.4756,65,2025-01
ORD00019,CUST0444,PROD020,Purchase,2025-02-02,Dublin,Leinster,53.3498,-6.2603,77,2025-02
ORD00020,CUST0184,PROD013,Purchase,2024-12-14,Galway,Connacht,53.2707,-9.0568,112,2024-12
ORD00021,CUST0488,PROD012,Purchase,2025-03-28,Kilkenny,Leinster,52.6541,-7.2448,94,2025-03
ORD00022,CUST0005,PROD020,Purchase,2024-10-30,Dublin,Leinster,53.3498,-6.2603,57,2024-10
ORD00023,CUST0249,PROD001,Purchase,2025-03-29,Sligo,Connacht,54.2742,-8.4694,94,2025-03
ORD00024,CUST0070,PROD005,Purchase,2025-03-24,Waterford,Munster,52.2593,-7.1101,123,2025-03
ORD00025,CUST0100,PROD016,Purchase,2025-01-04,Waterford,Munster,52.2593,-7.1101,28,2025-01
ORD00026,CUST0418,PROD016,Purchase,2024-10-30,Sligo,Connacht,54.2742,-8.4694,63,2024-10
ORD00027,CUST0197,PROD004,Return,2025-01-21,Dublin,Leinster,53.3498,-6.2603,-28,2025-01
ORD00028,CUST0494,PROD014,Purchase,2025-04-05,Waterford,Munster,52.2593,-7.1101,56,2025-04
ORD00029,CUST0288,PROD015,Purchase,2025-01-07,Athlone,Leinster,53.4239,-7.9407,69,2025-01
ORD00030,CUST0259,PROD002,Purchase,2024-10-13,Cork,Munster,51.8985,-8.4756,111,2024-10
ORD00031,CUST0335,PROD003,Purchase,2025-02-28,Waterford,Munster,52.2593,-7.1101,109,2025-02
ORD00032,CUST0254,PROD009,Purchase,2024-11-07,Cork,Munster,51.8985,-8.4756,76,2024-11
ORD00033,CUST0210,PROD011,Purchase,2024-12-29,Sligo,Connacht,54.2742,-8.4694,57,2024-12
ORD00034,CUST0351,PROD001,Purchase,2025-03-29,Cork,Munster,51.8985,-8.4756,94,2025-03
ORD00035,CUST0252,PROD017,Return,2025-02-15,Waterford,Munster,52.2593,-7.1101,-28,2025-02
ORD00036,CUST0213,PROD019,Purchase,2024-11-09,Kilkenny,Leinster,52.6541,-7.2448,112,2024-11
ORD00037,CUST0364,PROD019,Return,2024-10-25,Galway,Connacht,53.2707,-9.0568,-94,2024-10
ORD00038,CUST0431,PROD008,Return,2025-01-10,Galway,Connacht,53.2707,-9.0568,-123,2025-01
ORD00039,CUST0228,PROD011,Purchase,2025-03-11,Cork,Munster,51.8985,-8.4756,77,2025-03
ORD00040,CUST0251,PROD017,Purchase,2024-12-01,Sligo,Connacht,54.2742,-8.4694,98,2024-12
ORD00041,CUST0086,PROD017,Return,2024-12-15,Athlone,Leinster,53.4239,-7.9407,-112,2024-12
ORD00042,CUST0043,PROD020,Purchase,2025-02-09,Cork,Munster,51.8985,-8.4756,90,2025-02
ORD00043,CUST0290,PROD004,Purchase,2025-02-22,Waterford,Munster,52.2593,-7.1101,28,2025-02
ORD00044,CUST0016,PROD014,Purchase,2024-12-27,Sligo,Connacht,54.2742,-8.4694,94,2024-12
ORD00045,CUST0408,PROD008,Purchase,2025-02-14,Galway,Connacht,53.2707,-9.0568,77,2025-02
ORD00046,CUST0390,PROD016,Purchase,2024-10-26,Kilkenny,Leinster,52.6541,-7.2448,65,2024-10
ORD00047,CUST0113,PROD012,Return,2025-03-25,Waterford,Munster,52.2593,-7.1101,-123,2025-03
ORD00048,CUST0150,PROD013,Purchase,2024-12-13,Cork,Munster,51.8985,-8.4756,109,2024-12
ORD00049,CUST0017,PROD005,Purchase,2025-03-25,Cork,Munster,51.8985,-8.4756,109,2025-03
ORD00050,CUST0141,PROD018,Purchase,2025-02-18,Limerick,Munster,52.6638,-8.6267,98,2025-02
ORD00051,CUST0116,PROD020,Purchase,2025-03-26,Galway,Connacht,53.2707,-9.0568,112,2025-03
ORD00052,CUST0276,PROD002,Purchase,2025-01-22,Sligo,Connacht,54.2742,-8.4694,98,2025-01
ORD00053,CUST0148,PROD001,Return,2024-12-23,Waterford,Munster,52.2593,-7.1101,-69,2024-12
ORD00054,CUST0087,PROD006,Purchase,2024-12-11,Cork,Munster,51.8985,-8.4756,69,2024-12
ORD00055,CUST0400,PROD017,Purchase,2025-02-09,Cork,Munster,51.8985,-8.4756,93,2025-02
ORD00056,CUST0235,PROD016,Purchase,2025-02-27,Cork,Munster,51.8985,-8.4756,98,2025-02
ORD00057,CUST0290,PROD016,Purchase,2025-04-01,Dublin,Leinster,53.3498,-6.2603,111,2025-04
ORD00058,CUST0381,PROD006,Purchase,2025-03-07,Sligo,Connacht,54.2742,-8.4694,90,2025-03
ORD00059,CUST0396,PROD003,Purchase,2025-01-13,Athlone,Leinster,53.4239,-7.9407,90,2025-01
ORD00060,CUST0393,PROD016,Purchase,2025-03-29,Cork,Munster,51.8985,-8.4756,111,2025-03
ORD00061,CUST0254,PROD011,Return,2025-01-24,Galway,Connacht,53.2707,-9.0568,-109,2025-01
ORD00062,CUST0282,PROD008,Return,2024-10-17,Kilkenny,Leinster,52.6541,-7.2448,-87,2024-10
ORD00063,CUST0262,PROD011,Purchase,2025-02-07,Limerick,Munster,52.6638,-8.6267,69,2025-02
ORD00064,CUST0058,PROD009,Purchase,2024-10-24,Cork,Munster,51.8985,-8.4756,98,2024-10
ORD00065,CUST0294,PROD002,Purchase,2024-11-25,Galway,Connacht,53.2707,-9.0568,57,2024-11
ORD00066,CUST0059,PROD017,Purchase,2025-02-10,Cork,Munster,51.8985,-8.4756,123,2025-02
ORD00067,CUST0138,PROD008,Purchase,2025-02-20,Athlone,Leinster,53.4239,-7.9407,123,2025-02
ORD00068,CUST0397,PROD018,Purchase,2025-04-07,Cork,Munster,51.8985,-8.4756,77,2025-04
ORD00069,CUST0279,PROD013,Purchase,2024-12-05,Galway,Connacht,53.2707,-9.0568,77,2024-12
ORD00070,CUST0422,PROD013,Purchase,2024-11-24,Kilkenny,Leinster,52.6541,-7.2448,87,2024-11
ORD00071,CUST0188,PROD008,Purchase,2025-03-05,Sligo,Connacht,54.2742,-8.4694,93,2025-03
ORD00072,CUST0278,PROD003,Purchase,2024-10-28,Limerick,Munster,52.6638,-8.6267,53,2024-10
ORD00073,CUST0422,PROD015,Purchase,2025-01-03,Waterford,Munster,52.2593,-7.1101,63,2025-01
ORD00074,CUST0388,PROD015,Purchase,2024-10-30,Waterford,Munster,52.2593,-7.1101,109,2024-10
ORD00075,CUST0022,PROD019,Purchase,2025-03-07,Kilkenny,Leinster,52.6541,-7.2448,76,2025-03
ORD00076,CUST0390,PROD015,Purchase,2025-02-11,Kilkenny,Leinster,52.6541,-7.2448,112,2025-02
ORD00077,CUST0369,PROD003,Purchase,2025-02-24,Waterford,Munster,52.2593,-7.1101,93,2025-02
ORD00078,CUST0226,PROD016,Purchase,2025-03-29,Limerick,Munster,52.6638,-8.6267,76,2025-03
ORD00079,CUST0280,PROD015,Purchase,2024-10-30,Galway,Connacht,53.2707,-9.0568,65,2024-10
ORD00080,CUST0112,PROD011,Purchase,2025-01-05,Cork,Munster,51.8985,-8.4756,65,2025-01
ORD00081,CUST0218,PROD004,Return,2024-11-12,Cork,Munster,51.8985,-8.4756,-111,2024-11
